COUNTRY,Acronym,Unit,kgeq C02/Unit,SOURCE,Conversion in MJ to primary energy (MJ/kWh)
Belgium, BE,kWh,0.409420446,ELCD -2009,10.4
Bulgaria,BG,kWh,0.908494917,ELCD -2009,10.4
Czech Republic,CZ,kWh,0.81140177,ELCD -2009,10.4
Denmark,DK,kWh,0.789463022,ELCD -2009,10.4
Germany,DE,kWh,0.709087276,ELCD -2009,10.4
Estonia,EE,kWh,1.602304089,ELCD -2009,10.4
Ireland,IE,kWh,0.870514624,ELCD -2009,10.4
Greece,GR,kWh,1.167135347,ELCD -2009,10.4
Spain,ES,kWh,0.670537082,ELCD -2009,10.4
France,FR,kWh,0.153237543,ELCD -2009,10.4
Italy,IT,kWh,0.710450296,ELCD -2009,10.4
Cyprus,CY,kWh,1.019403169,ELCD -2009,10.4
Latvia,LV,kWh,0.584109862,ELCD -2009,10.4
Lithuania,LT,kWh,0.201276566,ELCD -2009,10.4
Luxembourg,LU,kWh,0.598903002,ELCD -2009,10.4
Hungary,HU,kWh,0.680452534,ELCD -2009,10.4
Malta,MT,kWh,1.073195219,ELCD -2009,10.4
Netherlands,NL,kWh,0.730919489,ELCD -2009,10.4
Austria,AT,kWh,0.336253823,ELCD -2009,10.4
Poland,PL,kWh,1.187928488,ELCD -2009,10.4
Portugal,PT,kWh,0.804008324,ELCD -2009,10.4
Romania,RO,kWh,1.08489931,ELCD -2009,10.4
Slovenia,SI,kWh,0.611293928,ELCD -2009,10.4
Slovakia,SK,kWh,0.360718181,ELCD -2009,10.4
Finland,FI,kWh,0.514929201,ELCD -2009,10.4
Sweden,SE,kWh,0.111824333,ELCD -2009,10.4
United Kingdom,GB,kWh,0.662918989,ELCD -2009,10.4