COUNTRY,kWh/m3,SOURCE
Belgium,1.333,"ADEME, Dia'terre Guide des valeurs"
Bulgaria,1.333,"ADEME, Dia'terre Guide des valeurs"
Czech Republic,1.333,"ADEME, Dia'terre Guide des valeurs"
Denmark,1.333,"ADEME, Dia'terre Guide des valeurs"
Germany,1.333,"ADEME, Dia'terre Guide des valeurs"
Estonia,1.333,"ADEME, Dia'terre Guide des valeurs"
Ireland,1.333,"ADEME, Dia'terre Guide des valeurs"
Greece,1.333,"ADEME, Dia'terre Guide des valeurs"
Spain,1.333,"ADEME, Dia'terre Guide des valeurs"
France,1.333,"ADEME, Dia'terre Guide des valeurs"
Italy,1.333,"ADEME, Dia'terre Guide des valeurs"
Cyprus,1.333,"ADEME, Dia'terre Guide des valeurs"
Latvia,1.333,"ADEME, Dia'terre Guide des valeurs"
Lithuania,1.333,"ADEME, Dia'terre Guide des valeurs"
Luxembourg,1.333,"ADEME, Dia'terre Guide des valeurs"
Hungary,1.333,"ADEME, Dia'terre Guide des valeurs"
Malta,1.333,"ADEME, Dia'terre Guide des valeurs"
Netherlands,1.333,"ADEME, Dia'terre Guide des valeurs"
Austria,1.333,"ADEME, Dia'terre Guide des valeurs"
Poland,1.333,"ADEME, Dia'terre Guide des valeurs"
Portugal,1.333,"ADEME, Dia'terre Guide des valeurs"
Romania,1.333,"ADEME, Dia'terre Guide des valeurs"
Slovenia,1.333,"ADEME, Dia'terre Guide des valeurs"
Slovakia,1.333,"ADEME, Dia'terre Guide des valeurs"
Finland,1.333,"ADEME, Dia'terre Guide des valeurs"
Sweden,1.333,"ADEME, Dia'terre Guide des valeurs"
United Kingdom,1.333,"ADEME, Dia'terre Guide des valeurs"